image;total_calories;total_fat;total_carb;total_protein;total_mass
dish_1562611580.png;141.0;6.0;16.0;6.0;50.0
dish_1558116436.png;91.970.001;7.14;0.238;6.29;17.0
dish_1560367952.png;414.733.154;21.073.912;45.956.913;24.938.904;221.0
dish_1563897981.png;243.540.009;18.279.999;2.188;16.5;138.0
dish_1566934366.png;87.746.994;3.102;11.055;3.696;33.0
dish_1558629398.png;21.76;0.448;4.352;0.448;64.0
dish_1566847483.png;476.231.934;28.970.854;24.980.385;29.644.312;314.0
dish_1558720335.png;15.64;0.092;3.68;0.368;46.0
dish_1563811463.png;220.585.373;2.699.951;22.557.051;23.124.781;376.0
dish_1563395415.png;182.538.498;5.808.602;25.546.873;782.521;187.0
dish_1563898722.png;343.350.006;23.472;9.870.001;23.232;303.0
dish_1562686492.png;160.0;10.0;3.0;14.0;100.0
dish_1563393366.png;8.985.463;7.287.953;7.559.166;9.442.002;178.0
dish_1560367085.png;77.559.998;2.669;10.636;4.983;183.0
dish_1565117463.png;435.312.988;15.939;53.588.001;19.696.001;248.0
dish_1561405864.png;197.121.201;5.344.729;12.694.054;23.070.551;106.0
dish_1566501324.png;65.269.997;2.926;10.038;1.051;113.0
dish_1560455263.png;360.679.474;11.476.776;31.163.731;34.337.601;360.0
dish_1562873224.png;261.856.628;24.702.576;16.689.787;27.196.226;436.0
dish_1563909580.png;544.311.523;20.122.177;74.144.119;18.481.764;361.0
dish_1561665378.png;74.269.997;1.68;15.4;2.17;70.0
dish_1562611878.png;286.894.592;166.621;28.178.411;9.673.808;311.0
dish_1558372433.png;74.360.001;0.286;0.429;20.02;143.0
dish_1558632130.png;33.66;0.198;7.92;0.792;99.0
dish_1562168696.png;95.114.838;2.474.677;18.134.903;1.705;141.0
dish_1563305982.png;27.363.089;13.750.449;14.913.705;23.238.264;225.0
dish_1564170141.png;62.68;3.591;7.74;1.235;133.0
dish_1559590157.png;230.485.992;5.829;5.047;38.512.001;234.0
dish_1564429744.png;282.477.234;5.089.361;49.256.981;11.891.616;374.0
dish_1558113154.png;37.259.998;0.108;9.72;0.378;54.0
dish_1562690047.png;68.642.334;6.488.747;2.514.018;0.926227;68.0
dish_1561753477.png;432.267.029;24.355.024;18.788.651;34.092.751;280.0
dish_1559589873.png;11.88;0.162;1.782;1.674;54.0
dish_1563811611.png;195.360.001;14.52;2.112;13.2;132.0
dish_1557936645.png;11.88;0.108;2.88;0.252;36.0
dish_1559841023.png;73.599.998;4.6;1.38;6.44;46.0
dish_1562010394.png;188.610.443;12.935.694;3.708.065;1.415.958;116.0
dish_1558462228.png;22.099.998;0.051;4.76;0.459;17.0
dish_1558544482.png;38.189.999;0.201;9.38;0.469;67.0
dish_1565194852.png;42.859.549;504.372;51.367.619;40.800.117;759.0
dish_1567106594.png;15.84;0.176;3.432;0.792;88.0
dish_1562603895.png;1.268.157.349;90.776.642;68.637.192;46.984.001;517.0
dish_1562956510.png;221.167.068;12.196.038;8.990.719;21.758.215;199.0
dish_1558640513.png;153.845.993;1.722;37.379.997;2.513;245.0
dish_1566920304.png;296.399.994;1.14;3.99;57.0;570.0
dish_1566501594.png;508.048.981;31.391.998;54.281.998;6.758;109.0
dish_1567789256.png;792.218.384;64.688.202;9.403.199;414.034;319.0
dish_1562775488.png;91.239.998;0.158;12.433.001;8.56;145.0
dish_1558630488.png;29.92;0.176;7.04;0.704;88.0
dish_1563566674.png;100.893.005;693.334;9.706.854;1.818.408;88.0
dish_1562860723.png;87.909.996;0.386;21.93;1.026;160.0
dish_1562613010.png;90.271.996;0.608;1.696;18.848;128.0
dish_1558629818.png;156.087.006;13.365;6.129;6.048;27.0
dish_1565021185.png;481.503.418;28.395.676;30.147.346;26.921.808;296.0
dish_1558633221.png;176.878.998;1.417;42.901.001;4.438;449.0
dish_1565811061.png;380.320.007;7.762;9.06;65.801.003;324.0
dish_1564428144.png;205.212.921;14.074.488;16.700.045;511.141;171.0
dish_1558030910.png;81.149.994;6.3;0.21;5.55;15.0
dish_1562010821.png;274.149.384;16.411.747;3.826.643;26.255.054;134.0
dish_1558550127.png;127.182.007;10.89;4.994;4.928;22.0
dish_1561662501.png;158.395.508;7.063.837;21.929.186;6.882.387;165.0
dish_1559842374.png;345.333.008;26.518.002;21.091;13.040.001;137.0
dish_1563567722.png;645.323.669;50.287.819;55.290.188;40.357.468;576.0
dish_1559241099.png;201.346.771;0.93439;51.246.647;2.417.124;382.0
dish_1561751897.png;354.020.905;17.961.365;7.834.482;3.695.565;199.0
dish_1561577701.png;258.637.756;13.043.034;1.103.658;24.108.046;263.0
dish_1562008813.png;214.593.262;15.571.491;15.597.978;6.029.664;225.0
dish_1565209963.png;244.455.963;7.331.051;33.016.068;13.147.844;253.0
dish_1558544663.png;141.440.002;2.912;24.959.999;4.992;208.0
dish_1561577198.png;240.542.908;1.199.711;253.207;9.301.439;174.0
dish_1567537457.png;297.765.015;12.137.429;36.091.728;12.930.025;361.0
dish_1563826306.png;882.837.463;48.949.856;69.584.892;44.391.125;312.0
dish_1558379273.png;227.436.005;18.018;2.772;12.738;66.0
dish_1563910137.png;131.283.218;8.903.819;11.986.854;2.529.557;141.0
dish_1562947503.png;438.122.009;20.1;42.709.999;21.657.999;408.0
dish_1561492228.png;648.180.298;34.085.533;54.370.659;58.203.133;488.0
dish_1564675193.png;478.808.777;5.210.829;46.038.174;54.254.734;803.0
dish_1563910276.png;37.594.339;15.709.352;11.068.739;43.652.462;241.0
dish_1562702132.png;245.385.895;21.956.066;15.755.673;2.343.635;359.0
dish_1558722370.png;19.75;0.237;3.95;1.422;79.0
dish_1557861795.png;13.64;0.651;1.333;0.992;31.0
dish_1563480505.png;767.266.785;33.528.202;29.452;79.754.471;475.0
dish_1560357792.png;145.150.009;7.150.001;16.35;3.95;50.0
dish_1568313487.png;13.72;0.196;2.597;1.078;49.0
dish_1560973958.png;145.313.232;6.214.187;20.729.744;4.312.272;121.0
dish_1558462106.png;25.530.001;0.074;6.66;0.259;37.0
dish_1563555510.png;193.880.005;14.41;2.096;13.1;131.0
dish_1563208094.png;160.311.234;6.387.736;24.817.924;1.361.321;111.0
dish_1563567978.png;11.896.312;13.726.029;38.764;15.666.928;114.0
dish_1566931116.png;35.5;0.426;7.1;2.556;142.0
dish_1562009810.png;119.880.005;0.972;24.84;2.808;108.0
dish_1558114209.png;30.6;0.18;7.2;0.72;90.0
dish_1557937079.png;146.069.992;11.339.999;0.378;9.99;27.0
dish_1567110756.png;111.720.001;4.074;13.860.001;4.62;42.0
dish_1558721434.png;99.900.002;0.778;22.713.001;3.759;350.0
dish_1561661806.png;183.475.952;840.041;9.825.473;16.235.809;89.0
dish_1562168471.png;312.665.558;5.737.881;50.066.841;17.219.376;490.0
dish_1563898813.png;626.508.484;47.430.229;11.959.503;37.696.037;382.0
dish_1564601569.png;208.098.145;7.830.707;31.273.438;668.656;291.0
dish_1560801797.png;25.655.659;0.700594;4.108.631;1.344.873;96.0
dish_1560526447.png;88.592.773;815.613;3.411.251;1.750.025;70.0
dish_1561578839.png;362.154.694;14.811.577;43.354.206;14.903.948;214.0
dish_1566316525.png;223.888.092;20.465.044;2.697.224;7.660.691;83.0
dish_1558380557.png;699.320.068;54.440.002;24.960.001;32.732.002;212.0
dish_1558031351.png;12.3;0.041;3.116;0.246;41.0
dish_1567022147.png;34.920.002;0.256;7.746;1.746;128.0
dish_1559675178.png;28.970.001;0.231;6.335;1.675;100.0
dish_1558723568.png;179.618.988;1.848;42.959.999;3.879;356.0
dish_1558381860.png;94.400.002;8.85;5.31;1.18;59.0
dish_1560455090.png;60.200.001;0.966;5.679;7.683;155.0
dish_1560444892.png;39.540.001;0.09;10.139.999;0.45;90.0
dish_1559844657.png;122.110.001;0.248;29.200.001;2.287;167.0
dish_1564686791.png;601.348.572;2.562.047;40.114.346;5.114.151;343.0
dish_1558719040.png;31.960.001;0.188;7.52;0.752;94.0
dish_1559667948.png;153.900.009;4.56;22.971.003;53.124;57.0
dish_1558376938.png;51.060.001;0.148;13.320.001;0.518;74.0
dish_1565021640.png;304.581.451;3.283.805;20.698.196;4.079.512;500.0
dish_1566931620.png;494.579.987;26.081.001;22.006.001;48.034;461.0
dish_1562009120.png;95.610.138;5.247.729;6.257.764;9.354.047;146.0
dish_1568665970.png;202.182.007;7.741;24.117.001;9.984;167.0
dish_1558642420.png;38.950.001;0.19;9.5;0.855;95.0
dish_1562699612.png;98.391.266;2.671.786;15.661.942;2.793.359;74.0
dish_1559593722.png;140.562.927;12.200.334;6.836.887;2.779.168;106.0
dish_1560802048.png;47.213.894;1.904.628;4.996.577;307.406;83.0
dish_1558379876.png;1.148.250.977;89.766.998;32.146;68.292;374.0
dish_1562873495.png;140.106.995;5.601;16.172.001;7.504;152.0
dish_1562874049.png;412.144.989;14.57;51.925.003;17.360.001;155.0
dish_1564516454.png;311.142.975;20.709.892;9.269.392;43.553.997;266.0
dish_1561752449.png;287.849.854;14.534.126;14.237.979;24.759.119;134.0
dish_1558639787.png;24.75;0.297;4.95;1.782;99.0
dish_1564516483.png;364.234.009;21.987.663;19.922.529;44.513.561;374.0
dish_1565711296.png;43.349.998;0.22;10.5;0.863;110.0
dish_1558640418.png;14.349.999;0.07;3.5;0.315;35.0
dish_1566591080.png;909.629.578;43.513.371;19.378.721;103.567.314;549.0
dish_1562961609.png;423.541.779;1.773.101;35.247.433;29.078.554;186.0
dish_1558636582.png;530.551.025;35.918.999;45.948.002;18.895;410.0
dish_1567789190.png;507.388.397;43.178.196;71.692;220.734;177.0
dish_1562183125.png;88.552.399;6.881.025;5.217.036;3.754.251;131.0
dish_1560454562.png;318.821.899;26.924.074;2.492.885;26.887.257;299.0
dish_1559849537.png;54.952.301;30.711;65.328.995;15.438.001;393.0
dish_1567106620.png;39.040.001;0.292;8.652;1.952;146.0
dish_1564082462.png;905.354.492;32.071.827;40.532.917;10.882.251;609.0
dish_1565123845.png;268.661.774;12.761.543;17.499.899;20.015.167;201.0
dish_1562959129.png;412.873.596;22.177.427;47.374.996;24.672.005;293.0
dish_1561574368.png;22.0;1.05;2.15;1.6;50.0
dish_1558468731.png;320.325.012;11.752;17.750.999;38.461.998;440.0
dish_1559675101.png;13.33;0.093;2.79;1.054;31.0
dish_1557863104.png;46.0;4.28;2.52;0.32;40.0
dish_1558373492.png;88.822.998;66.768.997;42.290.001;38.957.001;325.0
dish_1561737176.png;403.182.007;31.941;4.914;22.581.001;117.0
dish_1564773976.png;516.089.478;2.214.978;264.142;52.714.333;463.0
dish_1558372948.png;687.939.026;58.904.999;27.013;26.656;119.0
dish_1564170173.png;79.880.005;3.677;11.610.001;2.095;176.0
dish_1560444815.png;495.119.995;26.717.999;40.627.998;25.66;571.0
dish_1566849327.png;551.702.026;31.255.999;14.87;55.122.002;362.0
dish_1561492182.png;250.165.695;7.306.371;4.008.807;6.884.981;171.0
dish_1561753432.png;380.321.686;19.463.066;16.882.177;33.369.026;238.0
dish_1560456348.png;210.282.761;7.533.189;4.561.613;29.940.079;149.0
dish_1562784242.png;85.120.003;3.104;10.56;3.52;32.0
