image,total_calories,total_fat,total_carb,total_protein,total_mass
dish_1566587958.png,398.49588,20.217819,8.818713,41.598316,224.0
dish_1565107211.png,523.634644,13.528048,49.041954,47.71722,799.0
dish_1565021965.png,92.039993,0.354,1.239,17.700001,177.0
dish_1566931548.png,154.980011,10.385001,15.525999,4.434,253.0
dish_1562011765.png,423.923004,23.582834,14.153584,39.041424,283.0
dish_1565721855.png,479.034454,15.635769,23.092735,59.862839,450.0
dish_1559319902.png,8.5,0.017,2.21,0.085,17.0
dish_1561749908.png,377.262177,16.426279,22.846836,35.40324,472.0
dish_1558637896.png,84.870003,0.246,22.140001,0.861,123.0
dish_1558116486.png,39.329998,0.114,10.26,0.399,57.0
dish_1563208459.png,186.485947,8.039566,22.543018,6.94117,161.0
dish_1564170542.png,523.367859,25.166206,18.044437,52.976246,440.0
dish_1562959344.png,5.54,0.019,1.146,0.383,44.0
dish_1566332040.png,14.95,0.26,2.34,1.885,65.0
dish_1558638292.png,190.309982,0.755,46.080002,3.179,356.0
dish_1567110556.png,127.107117,10.841025,7.109585,2.239599,150.0
dish_1557936599.png,22.049999,0.252,4.41,1.512,63.0
dish_1565727851.png,406.473999,21.754999,13.028001,41.220005,305.0
dish_1557862783.png,442.97998,24.919001,3.85,50.416,258.0
dish_1561580628.png,72.434044,4.653638,6.681383,2.701085,156.0
dish_1560974009.png,482.983063,20.768675,30.18502,45.270073,409.0
dish_1567107049.png,107.202995,6.624,11.454,1.426,23.0
dish_1561577678.png,218.887756,12.566033,3.08658,21.246046,104.0
dish_1558640705.png,96.759995,0.468,24.737,1.315,234.0
dish_1562698276.png,434.58316,16.904676,35.99662,31.992001,307.0
dish_1558718680.png,132.962997,11.385,5.221,5.152,23.0
dish_1558026756.png,183.860001,10.305,13.486,9.863,178.0
dish_1558110245.png,29.07,0.153,7.14,0.357,51.0
dish_1561575506.png,562.043274,30.339838,23.645262,45.891098,393.0
dish_1561405008.png,156.428101,8.249931,6.420062,14.763338,134.0
dish_1566488956.png,280.888275,2.903561,22.376442,35.527023,489.0
dish_1558724992.png,456.699005,39.105,17.933001,17.696001,79.0
dish_1558628339.png,70.330002,5.46,0.182,4.81,13.0
dish_1560203424.png,451.753998,22.271999,50.211998,14.587999,138.0
dish_1567542843.png,471.296509,19.758106,42.703159,28.489662,216.0
dish_1560368944.png,143.540421,8.573035,2.14122,13.56644,66.0
dish_1567107839.png,174.284485,16.46933,11.980703,18.763048,156.0
dish_1560798744.png,357.152008,14.164,39.889,19.320002,220.0
dish_1558723639.png,10.25,0.123,2.05,0.738,41.0
dish_1562613045.png,166.112,1.793,18.285999,21.533998,207.0
dish_1565640601.png,411.151825,18.675562,13.240899,46.487823,333.0
dish_1561060613.png,323.673248,11.623275,30.939053,25.286839,304.0
dish_1565024741.png,359.927979,25.127998,10.634001,22.297001,192.0
dish_1565117892.png,132.599991,0.612,0.0,29.58,102.0
dish_1565204855.png,53.613285,1.343432,9.310905,3.515498,105.0
dish_1563996308.png,718.51178,22.656111,28.793682,98.594513,659.0
dish_1560455399.png,138.498901,13.729533,6.48775,10.835825,149.0
dish_1568319769.png,356.3573,20.433649,32.601284,10.701418,151.0
dish_1560543505.png,66.18,2.282,9.771001,3.129,172.0
dish_1565379868.png,560.774963,22.945583,49.074287,38.934471,434.0
